Text,Latitude,Longitude,Altitude,Type
"Berlin, Germany",52.52,13.405,0,city
"Schenectady, NY, USA",42.814167,-73.937222,0,city
"West Point, NY, USA",41.395,-73.955,0,city
"Durham, NC, USA",35.988611,-78.907222,0,city
"Greensboro, NC, USA",36.08,-79.819444,0,city
"Sarasota, FL, USA",27.337222,-82.535278,0,city
"Asheville, NC, USA",35.595833,-82.552778,0,city
"Boone, NC, USA",36.211389,-81.668611,0,city
"Raleigh, NC, USA",35.78,-78.64,0,city
"Miami Beach, FL, USA",25.813025,-80.134064,0,city
"Norfolk, VA, USA",36.846944,-76.285278,0,city
"Hartford, CT, USA",41.7625,-72.674167,0,city
"Little Rock, AR, USA",34.736111,-92.331111,0,city
"Houston, TX, USA",29.762778,-95.383056,0,city
"New Orleans, LA, USA",29.95,-90.08,0,city
"Burlington, VT, USA",44.475833,-73.211944,0,city
"Lewisburg, PA, USA",40.963889,-76.888056,0,city
"University Park, PA, USA",40.806667,-77.880278,0,city
"Columbus, OH, USA",39.962222,-83.000556,0,city
"Baltimore, MD, USA",39.289444,-76.615278,0,city
"Toronto, Ontario, Canada",43.741667,-79.373333,0,city
"London, England",51.507222,-0.1275,0,city
"Atlanta, GA, USA",33.748889,-84.39,0,city
"Olite, Spain",42.4875,-1.6625,0,city
"Santander, Spain",43.462778,-3.805,0,city
"Taormina, Italy",37.852222,15.291944,0,city
"Lipari, Italy",38.466667,14.95,0,city
"Catania, Italy",37.5,15.090278,0,city
"Caltanissetta, Italy",37.490278,14.0625,0,city
"Trapani, Italy",38.0175,12.515,0,city
"Basel, Switzerland",47.554722,7.590556,0,city
"Friedrichshafen, West Germany",47.65,9.483333,0,city
"Den Haag, Netherlands",52.08,4.31,0,city
"Antwerp, Belgium",51.217778,4.400278,0,city
"Amsterdam, Netherlands",52.366667,4.9,0,city
"Kansas City, MO, USA",39.099722,-94.578333,0,city
"Washington, D.C., USA",38.904722,-77.016389,0,city
"Clearwater, FL, USA",27.973611,-82.764167,0,city
"Detroit, MI, USA",42.331389,-83.045833,0,city
"Seattle, WA, USA",47.609722,-122.333056,0,city
"Sacramento, CA, USA",38.581667,-121.494444,0,city
"Anchorage, AK, USA",61.216667,-149.893611,0,city
"Berkeley, CA, USA",37.871667,-122.272778,0,city
"San Diego, CA, USA",32.715,-117.1625,0,city
"Palm Desert, CA, USA",33.722222,-116.374444,0,city
"Tucson, AZ, USA",32.221667,-110.926389,0,city
"Los Angeles, CA, USA",34.05,-118.25,0,city
"Milwaukee, WI, USA",43.05,-87.95,0,city
"St. Louis, MO, USA",38.627222,-90.197778,0,city
"Boston, MA, USA",42.360278,-71.057778,0,city
"Chicago, IL, USA",41.9483,-87.6574,0,city
"Minneapolis, MN, USA",44.981944,-93.269167,0,city
"Pittsburgh, PA, USA",40.439722,-79.976389,0,city
"Syracuse, NY, USA",43.046944,-76.144444,0,city
"New London, CT, USA",41.355556,-72.099444,0,city
"Storrs, CT, USA",41.808333,-72.249444,0,city
"Elmira, NY, USA",42.093889,-76.809722,0,city
"Utica, NY, USA",43.094722,-75.275833,0,city
"Halifax, Nova Scotia, Canada",44.6475,-63.590556,0,city
"Princeton, NJ, USA",40.358244,-74.666728,0,city
"Newark, NJ, USA",40.72,-74.17,0,city
"Philadelphia, PA, USA",39.952778,-75.163611,0,city
"Verona, Italy",45.433333,10.983333,0,city
"Paris, France",48.8567,2.3508,0,city
"Châteauvallon, France",43.148056,5.876389,0,city
"Cannes, France",43.5513,7.0128,0,city
"Rome, Italy",41.9,12.5,0,city
"Bari, Italy",41.125278,16.866667,0,city
"Ludwigsburg, Germany",48.8975,9.192222,0,city
"Frankfurt, Germany",50.116667,8.683333,0,city
"Munich, Germany",48.133333,11.566667,0,city
"Copenhagen, Denmark",55.676111,12.568333,0,city
"New York City, NY, USA",40.7127,-74.0059,0,city
1958,16.795,96.16,0,year
1959,16.795,96.16,365,year
1960,16.795,96.16,730,year
1961,16.795,96.16,1096,year
1962,16.795,96.16,1461,year
1958,21.983056,96.084444,0,year
1959,21.983056,96.084444,365,year
1960,21.983056,96.084444,730,year
1961,21.983056,96.084444,1096,year
1962,21.983056,96.084444,1461,year
1958,10.775556,106.701944,0,year
1959,10.775556,106.701944,365,year
1960,10.775556,106.701944,730,year
1961,10.775556,106.701944,1096,year
1962,10.775556,106.701944,1461,year
1958,3.147778,101.695278,0,year
1959,3.147778,101.695278,365,year
1960,3.147778,101.695278,730,year
1961,3.147778,101.695278,1096,year
